segment,subsPercentage,date
Verizon,78,05/14/15
Verizon,80.33,05/15/15
Verizon,80.41,05/16/15
Verizon,80.77,05/17/15
Verizon,81,05/18/15
Verizon,79,05/19/15
Verizon,80.11,05/20/15
Verizon,78.11,05/21/15
Verizon,78.43,05/22/15
Verizon,78.56,05/23/15
Verizon,78.9,05/24/15
Verizon,79.22,05/25/15
Verizon,79.11,05/26/15
Verizon,79.88,05/27/15
Verizon,81.11,05/28/15
Verizon,81.22,05/29/15
Verizon,81.23,05/30/15
Verizon,82.34,05/31/15
Verizon,82.11,06/01/15
Verizon,78,06/02/15
T-Mobile,4.15,05/14/15
T-Mobile,4.56,05/15/15
T-Mobile,4.27,05/16/15
T-Mobile,5.41,05/17/15
T-Mobile,4.64,05/18/15
T-Mobile,4.95,05/19/15
T-Mobile,3.14,05/20/15
T-Mobile,4.6,05/21/15
T-Mobile,4.58,05/22/15
T-Mobile,4.45,05/23/15
T-Mobile,4.63,05/24/15
T-Mobile,4.45,05/25/15
T-Mobile,4.12,05/26/15
T-Mobile,4.28,05/27/15
T-Mobile,4.32,05/28/15
T-Mobile,3.44,05/29/15
T-Mobile,4.69,05/30/15
T-Mobile,4.76,05/31/15
T-Mobile,5.31,06/01/15
T-Mobile,4.81,06/02/15
Sprint,44.25,05/14/15
Sprint,44.46,05/15/15
Sprint,44.17,05/16/15
Sprint,45.21,05/17/15
Sprint,44.24,05/18/15
Sprint,43.95,05/19/15
Sprint,44.14,05/20/15
Sprint,43.6,05/21/15
Sprint,43.58,05/22/15
Sprint,43.45,05/23/15
Sprint,43.63,05/24/15
Sprint,43.45,05/25/15
Sprint,44.12,05/26/15
Sprint,44.28,05/27/15
Sprint,44.32,05/28/15
Sprint,43.44,05/29/15
Sprint,44.69,05/30/15
Sprint,43.76,05/31/15
Sprint,43.31,06/01/15
Sprint,44.81,06/02/15
AT&T,16.81,05/14/15
AT&T,16.25,05/15/15
AT&T,16.46,05/16/15
AT&T,16.17,05/17/15
AT&T,15.21,05/18/15
AT&T,16.24,05/19/15
AT&T,15.95,05/20/15
AT&T,15.14,05/21/15
AT&T,14.6,05/22/15
AT&T,16.58,05/23/15
AT&T,16.45,05/24/15
AT&T,17.63,05/25/15
AT&T,16.45,05/26/15
AT&T,16.12,05/27/15
AT&T,16.28,05/28/15
AT&T,16.32,05/29/15
AT&T,16.44,05/30/15
AT&T,16.69,05/31/15
AT&T,16.76,06/01/15
AT&T,15.31,06/02/15
